CustomerID,Name,Gender,Age,Annual Income (k$),Spending Score (1-100),Address,Occupation,City
109,Debbie Hernandez,Male,68,63,43,"5984 Swanson Mission Suite 090
North Arthur, MN 97991","Designer, fashion/clothing",Shermanbury
110,Steven Dawson,Male,66,63,48,"4039 Amy Fall
Port Sharonfort, GA 36388",Production manager,Stephanieville
111,Linda French,Male,65,63,52,"44638 Timothy Turnpike Suite 540
West Jeffery, DC 22109","Production assistant, radio",Port Sean
112,Jason Dunn,Female,19,63,54,"PSC 6038, Box 6523
APO AP 04964",Lexicographer,Brettfort
113,Shannon Barrera,Female,38,64,42,"5494 Alejandro Island Apt. 383
West Travischester, NY 09712",Outdoor activities/education manager,East Jackstad
114,Christopher Frazier,Male,19,64,46,"806 Roberts Prairie
Port Kenneth, AZ 52792",Agricultural consultant,Gutierrezberg
115,Karen Jones,Female,18,65,48,"5984 Jack Highway Suite 220
Roymouth, NH 43540","Surveyor, hydrographic",Jamesstad
116,Christopher Huang,Female,19,65,50,"693 Bruce Expressway
East Jackson, MH 13819",Financial planner,Jenniferland
117,Mary Mcmillan,Female,63,65,43,"42180 Trevor Burgs
Livingstontown, NH 03272","Social research officer, government",Hernandezland
118,Amanda Whitaker,Female,49,65,59,"150 Cook Junction
Ryanshire, SC 16404",Occupational psychologist,Dukebury
119,Sonya Alexander,Female,51,67,43,"52564 Fuentes Oval Apt. 857
North Alicia, MI 02154",Furniture designer,East Ginafort
120,Vicki Murphy,Female,50,67,57,"573 Contreras Center
Tomfurt, IA 85983",Acupuncturist,North Ethanview
121,Ryan Morrison,Male,27,67,56,"2983 Hayley Plaza Apt. 250
West Rachelside, ME 67272",Statistician,South Michaeltown
122,Kelly Callahan,Female,38,67,40,"6290 Lisa Plaza
Jameston, DC 19828",Transport planner,Lake Devin
123,Roger Chambers,Female,40,69,58,"342 Blair Mall
Stacieville, SD 59558","Restaurant manager, fast food",North Sallybury
124,Allison Wilson,Male,39,69,91,"6966 Philip Skyway
Vangfurt, SC 64286",Market researcher,Port Shawnchester
125,Steven Bowers,Female,23,70,29,"PSC 2370, Box 4883
APO AE 23642","Loss adjuster, chartered",South Jeremyfort
126,Nicholas Smith,Female,31,70,77,"85871 Rocha Stravenue
Port Alyssa, WV 74072",Herpetologist,Lindsayshire
127,Mr. Steven Martin,Male,43,71,35,"876 Bowman Parks
Mcdowellport, PR 06413",Psychiatrist,Amybury
128,Natasha Moore,Male,40,71,95,"21252 Fowler Corners
Samuelbury, LA 01333","Engineer, water",New Karenhaven
129,Nancy Hernandez,Male,59,71,11,"380 Barbara Port Suite 401
Tranmouth, AZ 32333","Engineer, water",Port Steven
130,Mrs. Michelle Cardenas,Male,38,71,75,"751 Cruz Springs
Heatherberg, MP 92680",Bookseller,East Peterton
131,Jamie Diaz,Male,47,71,9,"2172 Espinoza Mount Suite 795
Makaylahaven, NE 58701","Journalist, magazine",Katherineview
132,Mrs. Amanda Kennedy,Male,39,71,75,"PSC 6612, Box 0956
APO AP 94757",Hydrogeologist,Westbury
133,John Perez,Female,25,72,34,"83213 Michael Harbor
North Kevinhaven, NE 04080",Armed forces technical officer,West Nicholasstad
134,Joanne Thompson,Female,31,72,71,"04412 Medina Extension
Hollybury, CA 83310",Health and safety inspector,Kevinview
135,Richard Davis,Male,20,73,5,"74560 Wagner Plaza Apt. 811
Collierfurt, PA 75364",Product/process development scientist,Fergusonstad
136,Ryan Coffey,Female,29,73,88,"670 Christina Point Suite 605
South Felicia, NE 46320","Engineer, drilling",Port Carrie
137,Jane Wiggins,Female,44,73,7,"010 White Hill Suite 130
Paulborough, AK 39453","Physicist, medical",South Joseph
138,Jeffrey Warren,Male,32,73,73,"868 Potts Views
Liport, SD 81847",Counsellor,Markhaven
139,Louis Conrad,Male,19,74,10,"96456 William Mount
Kimberlymouth, NV 47056",Warehouse manager,Neilhaven
140,Donna Johnson,Female,35,74,72,"71212 Gates Mountain
North James, CT 84201",Product designer,South Kathryn
141,Angela Camacho,Female,57,75,5,"63668 Ross Gateway
North Brent, AL 75002","Designer, graphic",New Lydia
142,Nicholas Cole,Male,32,75,93,"USS Gamble
FPO AE 82612",Adult guidance worker,Mirandaland
143,Brianna Benton,Female,28,76,40,"9449 Ana Pike
West Loriside, DE 27096",Marketing executive,New Danielberg
144,Veronica Turner,Female,32,76,87,"6946 Benjamin Shore Suite 127
Collinsport, WA 80908",Graphic designer,South Jeffrey
145,Laura Reed,Male,25,77,12,"255 David Roads
East Seth, AS 37927","Surveyor, building control",Mccoyborough
146,Stacy Brown,Male,28,77,97,"5770 Lisa Skyway Suite 795
Parsonsview, MA 20740",Operations geologist,Angelashire
147,Sean Valdez,Male,48,77,36,"6510 Joseph Forest Suite 081
Lake Heather, AS 85628",Systems developer,Port Catherineport
148,Laura Brown,Female,32,77,74,"32525 Richard Corner
Port Annettemouth, RI 62873",Commissioning editor,Watsonbury
149,Jeffrey Stone,Female,34,78,22,"259 Allen Roads
Natashastad, FM 62043",Accounting technician,Gloriaport
150,Lori Yoder,Male,34,78,90,"0781 Kenneth Creek Suite 987
North Lorraine, PA 43638","Scientist, product/process development",Nancyville
151,Teresa Mcpherson,Male,43,78,17,"271 Schmidt Trafficway Suite 883
Aprilland, CA 48378",Theme park manager,Clarkmouth
152,Katherine Gutierrez,Male,39,78,88,"4582 Sherman Lock
Huntberg, MN 11327",Water quality scientist,New Brianview
153,Nicholas Williams,Female,44,78,20,"8228 Vincent Trafficway Suite 996
Port Travisbury, CA 78397","Scientist, marine",North Vanessa
154,Kevin Beck,Female,38,78,76,"61877 Graham Walk Apt. 610
Brownbury, KS 32585","Engineer, electrical",Petersonborough
155,Jennifer White,Female,47,78,16,"107 Berg Ford Suite 683
West Emily, NM 22804","Conservator, furniture",East Sethport
156,Nicole Ramsey,Female,27,78,89,"67726 Joseph Prairie
South Paul, IL 47618",Furniture designer,Rodriguezville
157,James Foster,Male,37,78,1,"000 Carla Ville Suite 177
South Jonathanshire, PA 87745","Lighting technician, broadcasting/film/video",East Josephshire
158,Victor Smith,Female,30,78,78,"Unit 8588 Box 1199
DPO AP 44312","Scientist, research (medical)",Michelleborough
159,David Roy,Male,34,78,1,"858 Patton Haven Apt. 807
West Joseph, WA 04747",Actuary,Davidburgh
160,Terri Freeman,Female,30,78,73,"16721 Howard Squares Apt. 494
West Lynn, OH 18709",Trade mark attorney,Scottfurt
161,Peter Harrison,Female,56,79,35,"6233 Shannon Greens Apt. 748
Williamchester, ID 64124",Set designer,Port Alexisville
162,Justin Dyer,Female,29,79,83,"92856 Sutton Ridge
South Courtney, NH 33557","Surveyor, quantity",Collierville
163,Suzanne Arellano,Male,19,81,5,"PSC 2874, Box 0146
APO AP 16180","Investment banker, operational",New Cherylside
164,Stephen Aguilar,Female,31,81,93,"88245 Graves Meadow
Pamelashire, MS 15658","Civil engineer, consulting",Woodview
165,Jacob Hill,Male,50,85,26,"1731 Anna Union Apt. 125
Lake Tracy, TX 18348","Designer, jewellery",Andreaborough
166,Martin Cabrera,Female,36,85,75,"5985 Morse Mission Apt. 969
New Dianabury, AK 68416",Air cabin crew,Lake Kaylaview
167,Alexandra Young,Male,42,86,20,"633 Wallace Springs
New Carlamouth, FL 11277",Leisure centre manager,Janethaven
168,Victoria Jones,Female,33,86,95,"160 Tina Land Apt. 475
West Brandonton, AL 36086",Cartographer,Kathleenside
169,Sarah Garcia DVM,Female,36,87,27,"0935 Melvin Wells Suite 329
Williamsfurt, LA 32896",Editorial assistant,South Reginastad
170,Aaron Martin,Male,32,87,63,"725 Wallace Trail Suite 248
New Josephside, DE 46030","Surveyor, planning and development",Nicholsonville
171,John Rush,Male,40,87,13,"64905 Day Street
New Robertton, UT 20250","Librarian, public",North Gloriaborough
172,Juan Vargas,Male,28,87,75,"711 Joshua Ville
Hillshire, PW 16693","Conservation officer, historic buildings",Wilsonhaven
173,Dustin Johnson,Male,36,87,10,"5879 Phillip Land
Johnview, OR 42387",Dance movement psychotherapist,Robertmouth
174,Jessica Edwards,Male,36,87,92,"875 Zimmerman Lights
Rebeccaview, OH 34000",Nature conservation officer,North Kevin
175,Katie Andrews,Female,52,88,13,"8610 Arellano Ford Suite 630
New Carolberg, PW 97288",Primary school teacher,Douglasland
176,Mary Cook,Female,30,88,86,"848 Richard Crossroad Suite 073
West Antonio, MN 73271","Doctor, general practice",New Richardside
177,Daniel Harper,Male,58,88,15,"68907 Craig Walk
Lake Jessechester, VT 56763",Neurosurgeon,Noblefurt
178,Joshua Davis,Male,27,88,69,"4502 Michael Passage Apt. 890
West Richard, MD 57328","Programme researcher, broadcasting/film/video",New Jennifer
179,James Brown,Male,59,93,14,"408 Justin Stream Apt. 806
West Brian, MO 67832","Engineer, energy",Nguyenborough
180,Mary Wilson,Male,35,93,90,"670 Taylor Vista Apt. 840
North Richardborough, MD 90011",Environmental manager,Sullivanchester
181,John Boyle,Female,37,97,32,"58539 Jerry Corners Apt. 857
West Margarethaven, PA 63908",Chiropractor,New Elizabeth
182,Felicia Villegas,Female,32,97,86,"47378 Richard Avenue
Deanchester, FM 87247","Engineer, electronics",Ochoaville
183,Benjamin Dixon,Male,46,98,15,"73576 Renee Estate
Galvanton, MI 74830",Clinical cytogeneticist,North Maryland
184,Julie Hammond,Female,29,98,88,"759 Jacob Expressway
Bishopbury, OK 32170",Film/video editor,Lopezchester
185,Alexis Patterson,Female,41,99,39,"425 John Rest
Smithtown, WA 31889","Education officer, community",Oliviaburgh
186,Mark Obrien Jr.,Male,30,99,97,"74103 Burns Harbor
Lake Corey, IA 50208",Oncologist,North Dennis
187,Joseph Keith,Female,54,101,24,"28318 Debra Squares Apt. 177
North Vanessa, CT 69543",Chief Technology Officer,Hendersontown
188,Thomas Jimenez,Male,28,101,68,"011 George Station
Royton, RI 25763","Scientist, research (maths)",Lake Sherry
189,Lisa Wyatt,Female,41,103,17,"82929 Smith Divide Suite 194
West Robertmouth, NH 66470","Accountant, chartered public finance",Wagnerland
190,Brian Rogers,Female,36,103,85,"251 Alicia Knolls
Allisonshire, MS 50169",Haematologist,Floresmouth
191,Krystal Davis,Female,34,103,23,"128 Laura Parkways Apt. 316
Amandamouth, TX 91131",Hotel manager,Monicahaven
192,Timothy Wolfe,Female,32,103,69,"8362 George Track Apt. 321
Sarahshire, MN 69471",Insurance claims handler,Batesfort
193,Spencer Stephens,Male,33,113,8,"59357 Ruiz Lane
East Rachel, NC 34834",Bonds trader,Bonnieland
194,Wayne Dickerson,Female,38,113,91,"30784 Anthony Trace Apt. 172
West Frank, IN 59153",Sports administrator,East Daniel
195,Michael Campbell,Female,47,120,16,"3144 Douglas Park Apt. 574
Lake Rebecca, RI 20546",Animal nutritionist,Cardenasville
196,Alexander Stevenson,Female,35,120,79,"07653 Stephens Roads
Melissachester, IN 51526","Scientist, biomedical",North Ryan
197,Brandon Marshall,Female,45,126,28,"056 Eric Square Apt. 408
North Shawn, NY 29811",Environmental manager,Courtneytown
198,Ruben Walter,Male,32,126,74,"826 Fowler Falls
Phillipmouth, AR 16805",Fisheries officer,New Anneland
199,Ian Haynes,Male,32,137,18,"71947 Elizabeth Ports
Marcusberg, AL 34636","Doctor, hospital",Barnesstad
200,Wyatt Brooks,Male,30,137,83,"57428 Warner Shoal
Austinbury, AR 46680","Psychologist, clinical",New Donborough
201,Molly Griffin,Female,45,156,46,"11017 Reynolds Freeway
Livingstonton, OK 89265",Sub,New Emmaland
202,Edward Adkins,Male,31,160,35,"4712 Roth Mountains
North Scott, FM 26695",Media planner,Anthonyborough
203,Samantha Smith,Female,56,54,77,"612 Smith Bypass Suite 094
Matthewburgh, IA 22904",Translator,Carolynfort
204,Angela Berg,Female,33,170,18,"2979 Nicole Route Suite 500
Garciaport, WI 98814",Public relations officer,South Teresa
205,Jerry Taylor,Female,38,126,95,"4848 Alice Lodge
Meyerhaven, MI 71678",Publishing copy,Cherylhaven
206,Jorge Miller,Male,30,131,4,"PSC 3706, Box 1623
APO AE 93984","Production assistant, television",Lake Lisaside
207,Joseph Shaw,Female,23,171,33,"7321 Robert Hill Suite 776
North Amandafort, DE 62255",Haematologist,North Patrick
208,Joseph Browning,Female,39,176,85,"77937 Jacobs Centers
West Brandy, IL 79428",Archaeologist,Jamesside
209,Rodney Smith,Male,44,194,45,"5908 Holly Dale Apt. 034
South Jennaborough, NE 27877",Health promotion specialist,Morenotown
210,Reginald Richmond,Male,30,133,100,"00363 Boyd Road
West Seanton, IN 68356","Civil engineer, consulting",Laurenfort
211,Casey Shannon,Female,23,109,44,"031 Cheryl Motorway Suite 866
Port Richardborough, MN 07921","Solicitor, Scotland",Port Dawnmouth
212,Mr. Garrett Miller,Male,39,87,42,"28374 Sandra Green Apt. 990
Christinachester, CA 21391",Operational researcher,Smithton
213,Christine Sanchez,Female,44,137,29,"067 Roberts Freeway
Kirstenmouth, CO 67673",Product manager,North Kristine
214,Dr. Jeffrey Greer Jr.,Male,63,28,79,"4259 West Corner Apt. 122
Jessicaview, TN 02616","Journalist, newspaper",East Ana
215,Christopher Reynolds,Female,52,105,74,"4295 Terry Gardens
North Dave, NE 17661",Prison officer,North Katherineview
216,Nicole Butler,Male,44,109,79,"272 Hays Islands Apt. 266
Kristichester, IA 99412",Building services engineer,West Alexisside
217,Raymond Petty,Female,70,168,56,"451 Sandra Mills Suite 453
Russellshire, AZ 88516",Architectural technologist,Port Angela
218,Sandra Guzman,Male,56,153,45,"3840 Jeffery Islands
Mollyside, DE 67956",Clinical embryologist,Leonmouth
219,Micheal Williams,Female,62,54,37,"06819 Frost Isle Suite 661
South Michaelview, WA 67196","Journalist, newspaper",New Geoffreyville
220,Keith Johnson,Female,24,150,65,"49531 Angela Lock Suite 214
Shahberg, OK 53175",Occupational psychologist,Port April
221,Kiara Potter,Male,61,83,57,"Unit 4335 Box 6100
DPO AP 52710",Careers adviser,East Emilychester
222,Gloria Small,Male,69,154,14,"078 Jones Circle
Jessicaland, CT 33258","Surveyor, rural practice",Heatherburgh
223,Cynthia Ramirez,Female,67,130,100,"USS Young
FPO AE 46239",Agricultural engineer,South Williamfurt
224,Holly Ayala,Female,62,69,88,"500 Gardner Circle
Jefferyton, PW 99947",Aeronautical engineer,Donaldsonbury
225,Mark Roberts,Female,51,174,93,"4090 Brown Walk
Lake Timothy, AS 97736",Diplomatic Services operational officer,Goldenshire
226,Angela Schroeder,Female,52,118,89,"454 Freeman Inlet
West Wesleyburgh, DE 50553","Librarian, public",Sawyerborough
